wilayah_id,wilayah,tahun,periode,pendapatan,pendapatan_real,pad,pad_real,tkd,tkd_real,belanja,belanja_real,rasio_tkd,rasio_pad
6300,Provinsi Kalimantan Selatan,2026,12,7353410915143,3127383760768,4628841634964,2301483277601,2347930629679,823471450667,9938857549374,3863234229184,0.3193,0.6295
6301,Tanah Laut,2026,12,1765589698040,672010545951,263561439040,111390565709,1366130259000,506334985114,2590214162004,819056408720,0.7738,0.1493
6302,Kotabaru,2026,12,2815418402000,679752643313,650355045657,90930755754,1745260112793,540629576658,3334423409533,666050134256,0.6199,0.231
6303,Banjar,2026,12,2287874535567,1034359717625,338323659801,162925884091,1841282418000,745678915392,2782932622438,1004221698613,0.8048,0.1479
6304,Barito Kuala,2026,12,1785146411590,360908129801,488768858590,36408474004,1190178901000,283385757210,1985146411590,447819118218,0.6667,0.2738
6305,Tapin,2026,12,1426707986674,602765240588,152841884154,71435055390,1176688840000,471356213147,1896373727214,644227348136,0.8248,0.1071
6306,Hulu Sungai Selatan,2026,12,1417834732173,464570123147,252910853913,76663205329,1104564630200,329100829502,1976539328226,460577726324,0.7791,0.1784
6307,Hulu Sungai Tengah,2026,12,1761868295585,457328112995,259020599495,72090267197,1259116226107,324678908538,2214631156429,492511314293,0.7146,0.147
6308,Hulu Sungai Utara,2026,12,1343336861426,476131665099,151851480426,58693401243,1054750381000,380873242185,1761692934950,580874406195,0.7852,0.113
6309,Tabalong,2026,12,1969492841552,489936126732,297955246552,74518816360,1412137595000,360594755676,2689841991236,450409972220,0.717,0.1513
6310,Tanah Bumbu,2026,12,2302445029374,477366160103,396164603043,69037436807,1669826921120,342715632022,3036739874177,492748975018,0.7252,0.1721
6311,Balangan,2026,12,2016797801081,619318371161,185512579824,111416433164,1604287452000,462898972231,2913198347548,627079911158,0.7955,0.092
6371,Kota Banjarmasin,2026,12,2093636829127,835532072441,775973255816,244953166583,1062980852000,354772252219,2363233235513,682748039656,0.5077,0.3706
6372,Kota Banjarbaru,2026,12,1146004110495,386081938307,438586848075,128298974933,616159235000,153378908831,1311311132960,377928526868,0.5377,0.3827
