jenis,provinsi,kredit,kredit_umkm,dpk,kantor,bulan
BPR,Bali,13288357017248,5339467755431,18384378489525,289,2026-04
BPR,Banten,6946739029977,2878212512604,5471694908808,185,2026-04
BPR,Bengkulu,220384346940,3301936056,141672529927,13,2026-04
BPR,DKI Jakarta,4004066210382,2649785343088,4936561015688,54,2026-04
BPR,Daerah Istimewa Yogyakarta,6132595786854,1726778709359,6857778101898,199,2026-04
BPR,Gorontalo,110428885478,23750000,48969950096,9,2026-04
BPR,Jambi,1117015879478,602453578829,1152130645359,29,2026-04
BPR,Jawa Barat,19421001262841,4952024810987,17818227825758,851,2026-04
BPR,Jawa Tengah,35824721927487,12666792989894,37612947093855,1714,2026-04
BPR,Jawa Timur,16184718648387,5961435735548,15801969351952,1377,2026-04
BPR,Kalimantan Barat,1062476629061,550156456066,1547938382973,33,2026-04
BPR,Kalimantan Selatan,1027216861215,414788397480,1326801148196,48,2026-04
BPR,Kalimantan Tengah,1424748335171,371286077681,965418672473,25,2026-04
BPR,Kalimantan Timur,434623936235,78163601513,356531431236,54,2026-04
BPR,Kalimantan Utara,149198213570,17986314799,129882112005,11,2026-04
BPR,Kep. Bangka Belitung,225229540258,49871336169,165248437293,11,2026-04
BPR,Kep. Riau,10211350235407,5187050589799,10752217691594,87,2026-04
BPR,Lampung,13513621124647,1602497692459,8411276650049,77,2026-04
BPR,Maluku,2350034446257,0,1917986989822,22,2026-04
BPR,Maluku Utara,430219290183,1468689812,124994688300,12,2026-04
BPR,Nusa Tenggara Barat,1991610968646,534331631421,1814655962607,110,2026-04
BPR,Nusa Tenggara Timur,870906415172,331588852226,703146960253,32,2026-04
BPR,Papua,1338454273389,12842311587,651035844717,21,2026-04
BPR,Papua Barat,165468104915,6668135271,52507607782,2,2026-04
BPR,Papua Barat Daya,151615934644,45972218077,71686216484,5,2026-04
BPR,Papua Pegunungan,81634663284,0,16695698194,1,2026-04
BPR,Papua Selatan,146617197293,1696021069,68371292997,4,2026-04
BPR,Papua Tengah,202282696274,6664601451,105795033379,4,2026-04
BPR,Riau,1741099833436,521381477376,1606087526017,62,2026-04
BPR,Sulawesi Barat,102220176291,25298191000,159659208766,3,2026-04
BPR,Sulawesi Selatan,3286459495857,70499744318,2557134128968,44,2026-04
BPR,Sulawesi Tengah,1754526759024,57474571267,976294366059,44,2026-04
BPR,Sulawesi Tenggara,738435381417,49114887315,255890333349,24,2026-04
BPR,Sulawesi Utara,1891792609290,136443139877,1756751418170,59,2026-04
BPR,Sumatera Barat,1689624357150,365141047778,1612120679746,169,2026-04
BPR,Sumatera Selatan,2556314608168,426601736562,1593627454305,49,2026-04
BPR,Sumatera Utara,2112804414789,454690796718,2265043685214,145,2026-04
BPRS,Aceh,704766048507,206263101047,564826058336,53,2026-04
BPRS,Bali,12276327713,91000000,15759950125,2,2026-04
BPRS,Banten,988805960730,287046830350,1353512250441,31,2026-04
BPRS,Bengkulu,139673433606,18139333931,128200166595,7,2026-04
BPRS,DKI Jakarta,473462465389,391070092503,468723131102,5,2026-04
BPRS,Daerah Istimewa Yogyakarta,1364978848638,798997263429,1257170041327,30,2026-04
BPRS,Jawa Barat,5841700771554,2132162745336,4790736989253,101,2026-04
BPRS,Jawa Tengah,3454949677438,1949638675473,3099283146328,112,2026-04
BPRS,Jawa Timur,2429022037733,645299339112,2414840125540,180,2026-04
BPRS,Kalimantan Selatan,132746946794,94511556495,99405799145,4,2026-04
BPRS,Kalimantan Tengah,3842624896,18574988,3137322746,1,2026-04
BPRS,Kalimantan Timur,6449864963,994625709,6708140673,2,2026-04
BPRS,Kep. Bangka Belitung,186444828737,30909849914,320024420386,12,2026-04
BPRS,Kep. Riau,322994806709,101044083502,250260164352,5,2026-04
BPRS,Lampung,944237728823,91471404003,626880828875,39,2026-04
BPRS,Maluku Utara,211048649045,6405252066,183120311262,16,2026-04
BPRS,Nusa Tenggara Barat,2340550882393,235994731058,1561713262230,14,2026-04
BPRS,Riau,149036236469,30718939485,135014283710,10,2026-04
BPRS,Sulawesi Barat,0,0,60316960,2,2026-04
BPRS,Sulawesi Selatan,155905165018,24017154521,111202154952,11,2026-04
BPRS,Sulawesi Tengah,127348352177,87046960616,127932525122,8,2026-04
BPRS,Sumatera Barat,639107102029,142235144636,545617129347,43,2026-04
BPRS,Sumatera Selatan,20288669924,3691753485,16472874097,1,2026-04
BPRS,Sumatera Utara,167809305218,23620213126,134372367320,13,2026-04
