provinsi,dpk,bulan
Aceh,48298912200086,2026-03
Bali,187889754097887,2026-03
Bangka Belitung,27395193178518,2026-03
Banten,323910124262160,2026-03
Bengkulu,19934447305398,2026-03
D.I Yogyakarta,87999808991601,2026-03
DKI Jakarta,5714598224690599,2026-03
Gorontalo,7177445381180,2026-03
Jambi,53117303856877,2026-03
Jawa Barat,752266203190525,2026-03
Jawa Tengah,434135677828313,2026-03
Jawa Timur,829892625510395,2026-03
Kalimantan Barat,90198931717973,2026-03
Kalimantan Selatan,98460890270171,2026-03
Kalimantan Tengah,52202907869334,2026-03
Kalimantan Timur,155860088882501,2026-03
Kalimantan Utara,17284010775140,2026-03
Kepulauan Riau,107055426112371,2026-03
Lainnya,53604696393305,2026-03
Lampung,65130682379921,2026-03
Maluku,15178699291181,2026-03
Maluku Utara,16915404714198,2026-03
Nusa Tenggara Barat,47238028219305,2026-03
Nusa Tenggara Timur,41167997898600,2026-03
Papua,51040495699390,2026-03
Papua Barat,16577108151099,2026-03
Riau,134994275128449,2026-03
Sulawesi Barat,6770173134738,2026-03
Sulawesi Selatan,144770956908037,2026-03
Sulawesi Tengah,39167918332382,2026-03
Sulawesi Tenggara,33508015058191,2026-03
Sulawesi Utara,33607655393266,2026-03
Sumatera Barat,60816833344714,2026-03
Sumatera Selatan,118968187352007,2026-03
Sumatera Utara,343673075272213,2026-03
