tahun,bulan,tanggal,ekspor,impor,neraca
2021,1,2021-01-01,540.53,30.84,509.69
2021,2,2021-02-01,521.12,44.66,476.46
2021,3,2021-03-01,522.69,29.82,492.88
2021,4,2021-04-01,522.61,31.0,491.61
2021,5,2021-05-01,675.75,31.06,644.69
2021,6,2021-06-01,698.7,38.28,660.42
2021,7,2021-07-01,712.16,26.02,686.14
2021,8,2021-08-01,888.14,51.06,837.07
2021,9,2021-09-01,736.12,30.82,705.29
2021,10,2021-10-01,1056.01,33.51,1022.5
2021,11,2021-11-01,1162.35,67.41,1094.94
2021,12,2021-12-01,870.99,105.88,765.11
2022,1,2022-01-01,446.28,32.82,413.46
2022,2,2022-02-01,827.59,87.13,740.46
2022,3,2022-03-01,1258.53,100.64,1157.9
2022,4,2022-04-01,1507.01,111.13,1395.87
2022,5,2022-05-01,1313.51,74.34,1239.17
2022,6,2022-06-01,1729.51,134.57,1594.94
2022,7,2022-07-01,1540.94,154.18,1386.76
2022,8,2022-08-01,1640.31,200.29,1440.08
2022,9,2022-09-01,1478.55,192.49,1286.06
2022,10,2022-10-01,1571.92,197.09,1374.83
2022,11,2022-11-01,1552.34,82.16,1470.18
2022,12,2022-12-01,1351.17,177.49,1173.67
2023,1,2023-01-01,1365.9,91.39,1274.51
2023,2,2023-02-01,1110.14,103.49,1006.56
2023,3,2023-03-01,1331.23,82.58,1248.65
2023,4,2023-04-01,1122.92,90.06,1032.86
2023,5,2023-05-01,1123.31,126.38,996.92
2023,6,2023-06-01,1051.65,81.98,969.67
2023,7,2023-07-01,970.41,84.0,886.41
2023,8,2023-08-01,878.67,93.42,785.26
2023,9,2023-09-01,852.68,151.56,701.12
2023,10,2023-10-01,1119.6,188.17,931.43
2023,11,2023-11-01,1243.07,148.48,1094.59
2023,12,2023-12-01,1080.33,179.74,900.59
2024,1,2024-01-01,1003.42,172.12,831.3
2024,2,2024-02-01,908.8,192.14,716.65
2024,3,2024-03-01,1083.65,266.97,816.67
2024,4,2024-04-01,971.77,151.29,820.47
2024,5,2024-05-01,915.52,134.48,781.03
2024,6,2024-06-01,893.13,190.21,702.92
2024,7,2024-07-01,741.65,258.69,482.96
2024,8,2024-08-01,946.33,145.65,800.68
2024,9,2024-09-01,1046.71,102.83,943.87
2024,10,2024-10-01,1108.68,165.64,943.03
2024,11,2024-11-01,1118.55,135.59,982.97
2024,12,2024-12-01,921.32,145.3,776.02
2025,1,2025-01-01,828.06,106.31,721.76
2025,2,2025-02-01,841.15,98.95,742.21
2025,3,2025-03-01,800.19,124.71,675.48
2025,4,2025-04-01,765.04,91.34,673.7
2025,5,2025-05-01,822.66,158.21,664.45
2025,6,2025-06-01,727.76,176.41,551.35
2025,7,2025-07-01,801.89,103.29,698.61
2025,8,2025-08-01,965.69,114.19,842.5
2025,9,2025-09-01,782.15,158.34,623.82
2025,10,2025-10-01,882.41,130.0,752.41
2025,11,2025-11-01,931.79,152.7,779.09
2025,12,2025-12-01,996.76,130.98,865.78
