kota,tahun,bulan,tanggal,ihk,inflasi_mtm
Kabupaten Hulu Sungai Tengah,2024,1,2024-01-01,108.61,1.18
Kabupaten Hulu Sungai Tengah,2024,2,2024-02-01,108.31,-0.28
Kabupaten Hulu Sungai Tengah,2024,3,2024-03-01,108.92,0.56
Kabupaten Hulu Sungai Tengah,2024,4,2024-04-01,108.92,1.51
Kabupaten Hulu Sungai Tengah,2024,5,2024-05-01,109.7,-0.78
Kabupaten Hulu Sungai Tengah,2024,6,2024-06-01,109.47,-0.21
Kabupaten Hulu Sungai Tengah,2024,7,2024-07-01,107.62,-1.69
Kabupaten Hulu Sungai Tengah,2024,8,2024-08-01,106.09,-1.42
Kabupaten Hulu Sungai Tengah,2024,9,2024-09-01,106.47,0.36
Kabupaten Hulu Sungai Tengah,2024,10,2024-10-01,107.33,0.81
Kabupaten Hulu Sungai Tengah,2024,11,2024-11-01,108.14,0.75
Kabupaten Hulu Sungai Tengah,2024,12,2024-12-01,108.53,0.36
Kabupaten Hulu Sungai Tengah,2025,1,2025-01-01,108.03,-0.46
Kabupaten Hulu Sungai Tengah,2025,2,2025-02-01,107.16,-0.81
Kabupaten Hulu Sungai Tengah,2025,3,2025-03-01,114.69,2.4
Kabupaten Hulu Sungai Tengah,2025,4,2025-04-01,110.89,1.06
Kabupaten Hulu Sungai Tengah,2025,5,2025-05-01,109.56,-1.2
Kabupaten Hulu Sungai Tengah,2025,6,2025-06-01,109.98,0.38
Kabupaten Hulu Sungai Tengah,2025,7,2025-07-01,109.48,-0.45
Kabupaten Hulu Sungai Tengah,2025,8,2025-08-01,109.37,-0.1
Kabupaten Hulu Sungai Tengah,2025,9,2025-09-01,110.06,0.63
Kabupaten Hulu Sungai Tengah,2025,10,2025-10-01,110.61,0.5
Kabupaten Hulu Sungai Tengah,2025,11,2025-11-01,111.41,0.72
Kabupaten Hulu Sungai Tengah,2025,12,2025-12-01,112.79,1.24
Kabupaten Tanah Laut,2024,1,2024-01-01,104.76,1.1
Kabupaten Tanah Laut,2024,2,2024-02-01,104.38,-0.36
Kabupaten Tanah Laut,2024,3,2024-03-01,104.91,0.51
Kabupaten Tanah Laut,2024,4,2024-04-01,104.91,0.77
Kabupaten Tanah Laut,2024,5,2024-05-01,105.6,-0.11
Kabupaten Tanah Laut,2024,6,2024-06-01,105.61,0.01
Kabupaten Tanah Laut,2024,7,2024-07-01,104.71,-0.85
Kabupaten Tanah Laut,2024,8,2024-08-01,104.26,-0.43
Kabupaten Tanah Laut,2024,9,2024-09-01,104.82,0.54
Kabupaten Tanah Laut,2024,10,2024-10-01,104.43,-0.37
Kabupaten Tanah Laut,2024,11,2024-11-01,105.56,1.08
