tahun,periode,wilayah_id,wilayah,level,tpt,tpak
2023,Agustus,6300,Kalimantan Selatan,provinsi,4.31,69.76
2023,Agustus,6301,Tanah Laut,kabkota,3.58,69.61
2023,Agustus,6302,Kotabaru,kabkota,6.08,64.0
2023,Agustus,6303,Banjar,kabkota,2.73,70.21
2023,Agustus,6304,Barito Kuala,kabkota,3.42,71.89
2023,Agustus,6305,Tapin,kabkota,3.93,70.17
2023,Agustus,6306,Hulu Sungai Selatan,kabkota,2.12,74.91
2023,Agustus,6307,Hulu Sungai Tengah,kabkota,3.26,71.97
2023,Agustus,6308,Hulu Sungai Utara,kabkota,3.85,75.34
2023,Agustus,6309,Tabalong,kabkota,3.6,72.94
2023,Agustus,6310,Tanah Bumbu,kabkota,6.56,68.57
2023,Agustus,6311,Balangan,kabkota,2.7,73.16
2023,Agustus,6371,Kota Banjarmasin,kabkota,6.7,66.16
2023,Agustus,6372,Kota Banjarbaru,kabkota,5.01,67.18
2024,Agustus,6300,Kalimantan Selatan,provinsi,4.2,70.22
2024,Agustus,6301,Tanah Laut,kabkota,3.43,73.03
2024,Agustus,6302,Kotabaru,kabkota,6.05,65.8
2024,Agustus,6303,Banjar,kabkota,2.71,71.03
2024,Agustus,6304,Barito Kuala,kabkota,3.41,73.46
2024,Agustus,6305,Tapin,kabkota,3.86,68.12
2024,Agustus,6306,Hulu Sungai Selatan,kabkota,2.11,75.77
2024,Agustus,6307,Hulu Sungai Tengah,kabkota,3.2,74.53
2024,Agustus,6308,Hulu Sungai Utara,kabkota,3.73,73.89
2024,Agustus,6309,Tabalong,kabkota,3.44,74.17
2024,Agustus,6310,Tanah Bumbu,kabkota,6.37,67.35
2024,Agustus,6311,Balangan,kabkota,2.69,76.91
2024,Agustus,6371,Kota Banjarmasin,kabkota,6.56,63.93
2024,Agustus,6372,Kota Banjarbaru,kabkota,4.93,67.23
2025,Agustus,6300,Kalimantan Selatan,provinsi,4.16,69.93
2025,Agustus,6301,Tanah Laut,kabkota,3.3,71.98
2025,Agustus,6302,Kotabaru,kabkota,5.93,65.36
2025,Agustus,6303,Banjar,kabkota,2.76,69.74
2025,Agustus,6304,Barito Kuala,kabkota,3.23,71.98
2025,Agustus,6305,Tapin,kabkota,3.69,70.59
2025,Agustus,6306,Hulu Sungai Selatan,kabkota,2.2,70.96
2025,Agustus,6307,Hulu Sungai Tengah,kabkota,3.12,73.33
2025,Agustus,6308,Hulu Sungai Utara,kabkota,3.79,70.88
2025,Agustus,6309,Tabalong,kabkota,3.48,71.05
2025,Agustus,6310,Tanah Bumbu,kabkota,6.05,69.83
2025,Agustus,6311,Balangan,kabkota,2.74,75.09
2025,Agustus,6371,Kota Banjarmasin,kabkota,6.49,66.55
2025,Agustus,6372,Kota Banjarbaru,kabkota,4.75,70.01
