provinsi,sektor_kode,sektor,nilai,bulan
Aceh,A,"Pertanian, Kehutanan, dan Perikanan",3903214569798,2026-03
Aceh,B,Pertambangan dan Penggalian,220029887016,2026-03
Aceh,C,Industri Pengolahan,1319556104030,2026-03
Aceh,D,Pengadaan Listrik dan Gas,68603513005,2026-03
Aceh,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",45821056159,2026-03
Aceh,F,Konstruksi,445848022017,2026-03
Aceh,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,6023161932130,2026-03
Aceh,H,Transportasi dan Pergudangan,282539983092,2026-03
Aceh,I,Penyediaan Akomodasi dan Makan Minum,685250568325,2026-03
Aceh,J,Informasi dan Komunikasi,14402172017,2026-03
Aceh,K,Jasa Keuangan dan Asuransi,73895639554,2026-03
Aceh,L,Real Estat,76901045610,2026-03
Aceh,MN,Jasa Perusahaan,191329367735,2026-03
Aceh,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",106856183,2026-03
Aceh,P,Jasa Pendidikan,97401074318,2026-03
Aceh,Q,Jasa Kesehatan dan Kegiatan Sosial,451779656171,2026-03
Aceh,RSTU,Jasa Lainnya,788777035569,2026-03
Aceh,RT,Rumah Tangga (konsumsi),34077326854790,2026-03
Bali,A,"Pertanian, Kehutanan, dan Perikanan",6854840454720,2026-03
Bali,B,Pertambangan dan Penggalian,26973341519,2026-03
Bali,C,Industri Pengolahan,5241083513327,2026-03
Bali,D,Pengadaan Listrik dan Gas,114131871623,2026-03
Bali,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",57896801825,2026-03
Bali,F,Konstruksi,1889682435418,2026-03
Bali,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,30061595436456,2026-03
Bali,H,Transportasi dan Pergudangan,820591262936,2026-03
Bali,I,Penyediaan Akomodasi dan Makan Minum,14268832784473,2026-03
Bali,J,Informasi dan Komunikasi,173510669180,2026-03
Bali,K,Jasa Keuangan dan Asuransi,1449551295733,2026-03
Bali,L,Real Estat,2562626537511,2026-03
Bali,MN,Jasa Perusahaan,1797986199564,2026-03
Bali,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",3456699343,2026-03
Bali,P,Jasa Pendidikan,552944288120,2026-03
Bali,Q,Jasa Kesehatan dan Kegiatan Sosial,1639460435963,2026-03
Bali,RSTU,Jasa Lainnya,4410678698958,2026-03
Bali,RT,Rumah Tangga (konsumsi),35363991696195,2026-03
Bangka Belitung,A,"Pertanian, Kehutanan, dan Perikanan",3105293100638,2026-03
Bangka Belitung,B,Pertambangan dan Penggalian,1147911233768,2026-03
Bangka Belitung,C,Industri Pengolahan,420089595209,2026-03
Bangka Belitung,D,Pengadaan Listrik dan Gas,10548411724,2026-03
Bangka Belitung,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",3916182646,2026-03
Bangka Belitung,F,Konstruksi,205922521852,2026-03
Bangka Belitung,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,2886206665111,2026-03
Bangka Belitung,H,Transportasi dan Pergudangan,151725772481,2026-03
Bangka Belitung,I,Penyediaan Akomodasi dan Makan Minum,201531499981,2026-03
Bangka Belitung,J,Informasi dan Komunikasi,1806705366,2026-03
Bangka Belitung,K,Jasa Keuangan dan Asuransi,12661410212,2026-03
Bangka Belitung,L,Real Estat,57218677460,2026-03
Bangka Belitung,MN,Jasa Perusahaan,80899845583,2026-03
