kode,industri,sektor_kode,sektor,bl,fl,kuadran,tahun
I-01,Pertanian Tanaman Pangan,A,"Pertanian, Kehutanan, dan Perikanan",0.8509,1.2028,3,2016
I-02,"Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya",A,"Pertanian, Kehutanan, dan Perikanan",0.8626,0.7794,4,2016
I-03,Perkebunan Semusim dan Tahunan,A,"Pertanian, Kehutanan, dan Perikanan",0.8997,1.3129,3,2016
I-04,Peternakan,A,"Pertanian, Kehutanan, dan Perikanan",1.0865,1.122,1,2016
I-05,Jasa Pertanian dan Perburuan,A,"Pertanian, Kehutanan, dan Perikanan",0.8688,0.8443,4,2016
I-06,Kehutanan dan Penebangan Kayu,A,"Pertanian, Kehutanan, dan Perikanan",0.8493,0.968,4,2016
I-07,Perikanan,A,"Pertanian, Kehutanan, dan Perikanan",0.9243,1.0364,3,2016
I-08,"Pertambangan Minyak, Gas dan Panas Bumi",B,Pertambangan dan Penggalian,0.8611,0.7636,4,2016
I-09,Pertambangan Batubara dan Lignit,B,Pertambangan dan Penggalian,1.01,1.3003,1,2016
I-10,Pertambangan Bijih Logam,B,Pertambangan dan Penggalian,1.0181,0.7699,2,2016
I-11,Pertambangan dan Penggalian Lainnya,B,Pertambangan dan Penggalian,0.8772,0.8331,4,2016
I-12,Industri Batubara dan Pengilangan Migas,C,Industri Pengolahan,0.7581,0.7581,4,2016
I-13,Industri Makanan dan Minuman,C,Industri Pengolahan,1.282,2.038,1,2016
I-14,Industri Pengolahan Tembakau,C,Industri Pengolahan,0.7581,0.7581,4,2016
I-15,Industri Tekstil dan Pakaian Jadi,C,Industri Pengolahan,1.0104,0.7581,2,2016
I-16,"Industri Kulit, Barang dari Kulit dan Alas Kaki",C,Industri Pengolahan,1.0373,0.7587,2,2016
I-17,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",C,Industri Pengolahan,1.1734,1.1605,1,2016
