tahun,sektor_kode,sektor,pdrb_prov,pdrb_nas,share_prov,share_nas,lq
2020,A,"Pertanian, Kehutanan, dan Perikanan",18399.41,1378398.9,0.140599,0.133415,1.0538
2020,B,Pertambangan dan Penggalian,31906.41,790475.2,0.243813,0.07651,3.1867
2020,C,Industri Pengolahan,16298.91,2209920.3,0.124548,0.213898,0.5823
2020,D,Pengadaan Listrik dan Gas,163.76,108826.4,0.001251,0.010533,0.1188
2020,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",572.86,9449.3,0.004378,0.000915,4.7863
2020,F,Konstruksi,10075.35,1072334.8,0.076991,0.103791,0.7418
2020,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,11972.12,1385651.2,0.091485,0.134117,0.6821
2020,H,Transportasi dan Pergudangan,7773.29,393418.9,0.0594,0.038079,1.5599
2020,I,Penyediaan Akomodasi dan Makan Minum,2628.49,299122.4,0.020086,0.028952,0.6938
2020,J,Informasi dan Komunikasi,5510.9,652062.9,0.042112,0.063113,0.6672
2020,K,Jasa Keuangan dan Asuransi,4316.33,457486.5,0.032983,0.04428,0.7449
2020,L,Real Estat,3144.11,324259.4,0.024026,0.031385,0.7655
2020,MN,Jasa Perusahaan,806.23,195671.1,0.006161,0.018939,0.3253
2020,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",7033.24,365446.0,0.053745,0.035372,1.5194
2020,P,Jasa Pendidikan,6117.21,350272.8,0.046745,0.033903,1.3788
2020,Q,Jasa Kesehatan dan Kegiatan Sosial,2629.63,142227.3,0.020094,0.013766,1.4597
2020,RSTU,Jasa Lainnya,1516.09,196608.9,0.011585,0.01903,0.6088
2021,A,"Pertanian, Kehutanan, dan Perikanan",18614.34,1404190.9,0.137452,0.131609,1.0444
2021,B,Pertambangan dan Penggalian,33226.73,822099.5,0.245352,0.077052,3.1843
2021,C,Industri Pengolahan,17277.92,2284821.7,0.127583,0.214146,0.5958
2021,D,Pengadaan Listrik dan Gas,171.4,114861.1,0.001266,0.010765,0.1176
2021,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",601.69,9919.3,0.004443,0.00093,4.779
2021,F,Konstruksi,10364.04,1102517.7,0.07653,0.103334,0.7406
2021,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,12320.82,1449831.4,0.090979,0.135886,0.6695
2021,H,Transportasi dan Pergudangan,7919.63,406169.3,0.05848,0.038068,1.5362
2021,I,Penyediaan Akomodasi dan Makan Minum,2705.83,310737.6,0.01998,0.029124,0.686
2021,J,Informasi dan Komunikasi,5908.86,696506.1,0.043632,0.06528,0.6684
2021,K,Jasa Keuangan dan Asuransi,4367.68,464637.7,0.032252,0.043548,0.7406
2021,L,Real Estat,3318.73,333282.9,0.024506,0.031237,0.7845
2021,MN,Jasa Perusahaan,835.41,197106.7,0.006169,0.018474,0.3339
2021,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",7144.27,364246.6,0.052755,0.034139,1.5453
2021,P,Jasa Pendidikan,6211.32,350660.0,0.045866,0.032866,1.3955
2021,Q,Jasa Kesehatan dan Kegiatan Sosial,2893.56,157085.5,0.021367,0.014723,1.4512
2021,RSTU,Jasa Lainnya,1542.36,200773.2,0.011389,0.018818,0.6052
2022,A,"Pertanian, Kehutanan, dan Perikanan",18911.08,1435853.2,0.132859,0.128232,1.0361
2022,B,Pertambangan dan Penggalian,35093.57,858146.6,0.246549,0.076639,3.217
2022,C,Industri Pengolahan,17855.34,2396603.0,0.125442,0.214034,0.5861
2022,D,Pengadaan Listrik dan Gas,184.86,122451.9,0.001299,0.010936,0.1188
