provinsi,domain,tahun,sektor_kode,sektor,adhk,share_pct,growth_total_pct
Kalimantan Barat,6100,2024,A,"Pertanian, Kehutanan, dan Perikanan",36150729.5,22.24,4.9
Kalimantan Barat,6100,2024,B,Pertambangan dan Penggalian,7167791.8,4.41,4.9
Kalimantan Barat,6100,2024,C,Industri Pengolahan,25034197.0,15.4,4.9
Kalimantan Barat,6100,2024,D,Pengadaan Listrik dan Gas,211012.2,0.13,4.9
Kalimantan Barat,6100,2024,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",257969.6,0.16,4.9
Kalimantan Barat,6100,2024,F,Konstruksi,16665182.7,10.25,4.9
Kalimantan Barat,6100,2024,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,24810055.2,15.26,4.9
Kalimantan Barat,6100,2024,H,Transportasi dan Pergudangan,6067073.1,3.73,4.9
Kalimantan Barat,6100,2024,I,Penyediaan Akomodasi dan Makan Minum,3630464.6,2.23,4.9
Kalimantan Barat,6100,2024,J,Informasi dan Komunikasi,10401184.3,6.4,4.9
Kalimantan Barat,6100,2024,K,Jasa Keuangan dan Asuransi,5873801.2,3.61,4.9
Kalimantan Barat,6100,2024,L,Real Estat,4891490.9,3.01,4.9
Kalimantan Barat,6100,2024,MN,Jasa Perusahaan,808668.7,0.5,4.9
Kalimantan Barat,6100,2024,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",7697432.8,4.73,4.9
Kalimantan Barat,6100,2024,P,Jasa Pendidikan,6448267.5,3.97,4.9
Kalimantan Barat,6100,2024,Q,Jasa Kesehatan dan Kegiatan Sosial,4643003.9,2.86,4.9
Kalimantan Barat,6100,2024,RSTU,Jasa Lainnya,1816148.4,1.12,4.9
Kalimantan Tengah,6200,2024,A,"Pertanian, Kehutanan, dan Perikanan",24138.6,20.34,4.46
Kalimantan Tengah,6200,2024,B,Pertambangan dan Penggalian,17178.6,14.47,4.46
Kalimantan Tengah,6200,2024,C,Industri Pengolahan,17829.3,15.02,4.46
Kalimantan Tengah,6200,2024,D,Pengadaan Listrik dan Gas,128.5,0.11,4.46
Kalimantan Tengah,6200,2024,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",104.2,0.09,4.46
Kalimantan Tengah,6200,2024,F,Konstruksi,9996.4,8.42,4.46
Kalimantan Tengah,6200,2024,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,14604.7,12.31,4.46
Kalimantan Tengah,6200,2024,H,Transportasi dan Pergudangan,7954.5,6.7,4.46
Kalimantan Tengah,6200,2024,I,Penyediaan Akomodasi dan Makan Minum,2166.5,1.83,4.46
Kalimantan Tengah,6200,2024,J,Informasi dan Komunikasi,1747.1,1.47,4.46
Kalimantan Tengah,6200,2024,K,Jasa Keuangan dan Asuransi,4189.5,3.53,4.46
Kalimantan Tengah,6200,2024,L,Real Estat,2298.8,1.94,4.46
Kalimantan Tengah,6200,2024,MN,Jasa Perusahaan,43.4,0.04,4.46
Kalimantan Tengah,6200,2024,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",7114.9,5.99,4.46
Kalimantan Tengah,6200,2024,P,Jasa Pendidikan,5503.7,4.64,4.46
Kalimantan Tengah,6200,2024,Q,Jasa Kesehatan dan Kegiatan Sosial,2597.2,2.19,4.46
Kalimantan Tengah,6200,2024,RSTU,Jasa Lainnya,1086.3,0.92,4.46
Kalimantan Selatan,6300,2024,A,"Pertanian, Kehutanan, dan Perikanan",20350.7,12.98,5.06
Kalimantan Selatan,6300,2024,B,Pertambangan dan Penggalian,37270.5,23.77,5.06
Kalimantan Selatan,6300,2024,C,Industri Pengolahan,19284.7,12.3,5.06
Kalimantan Selatan,6300,2024,D,Pengadaan Listrik dan Gas,213.4,0.14,5.06
