tahun,wilayah_id,wilayah,sektor_kode,sektor,pdrb_wil,share_wil,share_nas,lq
2020,6301,Tanah Laut,A,"Pertanian, Kehutanan, dan Perikanan",1862.14,0.183208,0.133415,1.3732
2020,6301,Tanah Laut,B,Pertambangan dan Penggalian,2819.71,0.27742,0.07651,3.6259
2020,6301,Tanah Laut,C,Industri Pengolahan,1132.91,0.111462,0.213898,0.5211
2020,6301,Tanah Laut,D,Pengadaan Listrik dan Gas,8.54,0.00084,0.010533,0.0798
2020,6301,Tanah Laut,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",18.85,0.001855,0.000915,2.0277
2020,6301,Tanah Laut,F,Konstruksi,721.23,0.070959,0.103791,0.6837
2020,6301,Tanah Laut,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1031.47,0.101482,0.134117,0.7567
2020,6301,Tanah Laut,H,Transportasi dan Pergudangan,586.62,0.057715,0.038079,1.5157
2020,6301,Tanah Laut,I,Penyediaan Akomodasi dan Makan Minum,154.08,0.015159,0.028952,0.5236
2020,6301,Tanah Laut,J,Informasi dan Komunikasi,351.29,0.034562,0.063113,0.5476
2020,6301,Tanah Laut,K,Jasa Keuangan dan Asuransi,141.19,0.013891,0.04428,0.3137
2020,6301,Tanah Laut,L,Real Estat,210.6,0.02072,0.031385,0.6602
2020,6301,Tanah Laut,MN,Jasa Perusahaan,31.25,0.003075,0.018939,0.1623
2020,6301,Tanah Laut,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",505.96,0.049779,0.035372,1.4073
2020,6301,Tanah Laut,P,Jasa Pendidikan,408.82,0.040222,0.033903,1.1864
2020,6301,Tanah Laut,Q,Jasa Kesehatan dan Kegiatan Sosial,106.65,0.010493,0.013766,0.7622
2020,6301,Tanah Laut,RSTU,Jasa Lainnya,72.74,0.007157,0.01903,0.3761
2021,6301,Tanah Laut,A,"Pertanian, Kehutanan, dan Perikanan",1894.37,0.180122,0.131609,1.3686
2021,6301,Tanah Laut,B,Pertambangan dan Penggalian,2945.15,0.280033,0.077052,3.6344
2021,6301,Tanah Laut,C,Industri Pengolahan,1191.64,0.113304,0.214146,0.5291
2021,6301,Tanah Laut,D,Pengadaan Listrik dan Gas,8.95,0.000851,0.010765,0.079
2021,6301,Tanah Laut,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",19.59,0.001863,0.00093,2.0035
2021,6301,Tanah Laut,F,Konstruksi,748.93,0.07121,0.103334,0.6891
2021,6301,Tanah Laut,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1057.02,0.100504,0.135886,0.7396
2021,6301,Tanah Laut,H,Transportasi dan Pergudangan,595.93,0.056663,0.038068,1.4884
2021,6301,Tanah Laut,I,Penyediaan Akomodasi dan Makan Minum,157.61,0.014986,0.029124,0.5146
2021,6301,Tanah Laut,J,Informasi dan Komunikasi,374.39,0.035598,0.06528,0.5453
2021,6301,Tanah Laut,K,Jasa Keuangan dan Asuransi,139.15,0.013231,0.043548,0.3038
2021,6301,Tanah Laut,L,Real Estat,221.33,0.021045,0.031237,0.6737
2021,6301,Tanah Laut,MN,Jasa Perusahaan,32.34,0.003075,0.018474,0.1664
2021,6301,Tanah Laut,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",529.79,0.050374,0.034139,1.4755
